cycle_day,phase,lh_avg,estrogen_avg,progesterone_avg
1,Menstrual,4.53,108.13,5.48
2,Menstrual,4.57,97.49,4.18
3,Menstrual,4.72,91.07,3.5
4,Menstrual,4.86,89.16,3.23
5,Menstrual,4.97,89.7,3.07
6,Follicular,5.12,91.39,3.05
7,Follicular,5.29,94.16,3.15
8,Follicular,5.45,98.59,3.32
9,Follicular,5.58,104.06,3.57
10,Follicular,5.71,109.7,4.08
11,Follicular,6.09,116.98,4.67
12,Follicular,6.86,127.32,4.95
13,Follicular,7.97,138.5,4.78
14,Fertility,9.2,146.48,4.53
15,Fertility,10.36,150.95,4.56
16,Fertility,11.1,152.55,4.91
17,Luteal,11.02,151.31,5.44
18,Luteal,10.1,147.19,6.04
19,Luteal,8.72,142.91,6.71
20,Luteal,7.49,141.51,7.6
21,Luteal,6.49,145.17,8.93
22,Luteal,5.78,151.07,10.46
23,Luteal,5.39,153.21,11.5
24,Luteal,5.32,150.07,11.6
25,Luteal,5.26,145.41,11.05
26,Luteal,5.1,140.84,10.21
27,Luteal,4.88,132.98,8.97
28,Luteal,4.66,121.24,7.27
